winery,vintage,year,region,rating,ratings_count,country_rank,region_rank,winery_rank,global_rank,foods,alcohol,drink_from,drink_until,style,body,body_desc,acidity,acidity_desc,grapes,price,highlights
AbelMendozaMonge,GranoaGranoTempranillo,2017,Rioja,3.9,35,16,19,50,16,"['Beef', 'Lamb', 'Veal', 'Poultry']",14.5,,,Spanish Rioja Red,4,Full-bodied,3,High,Tempranillo,55.14,"['Latest vintage available', 'Cheapest vintage available']"
AbelMendozaMonge,GranoaGranoTempranillo,2016,Rioja,4.3,65,2,2,8,2,"['Beef', 'Lamb', 'Veal', 'Poultry']",14.5,,,Spanish Rioja Red,4,Full-bodied,3,High,Tempranillo,120.13,['Oldest vintage available']
AbelMendozaMonge,Selecci&#243;nPersonal,2017,Rioja,4.1,61,6,7,24,6,"['Beef', 'Lamb', 'Veal', 'Poultry']",14.5,,,Spanish Rioja Red,4,Full-bodied,3,High,Garnacha Blanca,41.87,[]
AcusticCeller,Ac&#250;sticNegre,2019,Montsant,4,110,4,5,25,4,"['Beef', 'Pasta', 'Lamb']",15,,,Spanish Montsant Red,4,Full-bodied,3,High,Sams&#243;,16.73,[]
AcusticCeller,Ac&#250;sticNegre,2017,Montsant,4,1008,3,4,19,4,"['Beef', 'Pasta', 'Lamb']",15,2020,2025,Spanish Montsant Red,4,Full-bodied,3,High,Cari&#241;ena,16.73,"['This vintage rates better than any other year for this wine', 'Among top 4% of all wines in the world']"
AcusticCeller,MontsantAuditori,2013,Montsant,4.2,197,2,1,5,2,"['Beef', 'Pasta', 'Lamb']",15,2017,2027,Spanish Montsant Red,4,Full-bodied,3,High,Garnacha,45.95,"[""Featured in Vivino's 2018 Wine Style Awards: Spanish Montsant Red"", 'Popular among Vivino users. More than 100 ratings', 'Oldest vintage available']"
AcusticCeller,MontsantAuditori,2016,Montsant,4.1,73,4,6,28,5,"['Beef', 'Pasta', 'Lamb']",15,,,Spanish Montsant Red,4,Full-bodied,3,High,Garnacha,46.23,"['Latest vintage available', 'Cheapest vintage available']"
AcusticCeller,MontsantBra&#243;VinyesVellesde60Ans,2017,Montsant,4.1,58,6,9,41,6,"['Beef', 'Pasta', 'Lamb']",15,,,Spanish Montsant Red,4,Full-bodied,3,High,Cari&#241;ena,24.5,['Latest vintage available']
AcusticCeller,PlaerVinyesVelles,2016,Priorat,4.1,240,2,3,16,3,"['Beef', 'Lamb', 'Game (deer, venison)', 'Poultry']",14.5,,,Spanish Priorat Red,,,,,Cari&#241;ena,25.98,['Popular among Vivino users. More than 200 ratings']
Agust&#237;nCubero,StyloGarnachaOldVines,2020,Calatayud,4.1,144,3,1,1,3,"['Beef', 'Pasta', 'Lamb', 'Game (deer, venison)', 'Poultry']",,,,Spanish Grenache,5,Very full-bodied,3,High,Garnacha,8.2,"['Great value for money. Similar wines usually cost 5 times as much.', 'This vintage rates better than any other year for this wine', 'Among top 3% of all wines in the world']"
